feature,gain
action_type,137378.1383791417
score_margin,127393.81621105969
shot_distance,94088.19801455736
seconds_remaining_in_period,76372.50088866055
period,18462.17870154977
home_or_away,8133.381875634193
shot_type,6071.735731959343
shot_zone_basic,4244.758199498057
shot_zone_area,3131.3942759633064
in_bonus,0.0
