feature,gain
seconds_remaining_in_period,157071.8015524149
n_off_rebs,88345.12100565434
shot_distance,78916.37947617471
score_margin,77140.10381665826
n_shots,70625.29312643409
period,37324.080794632435
home_or_away,17568.718248188496
shot_zone_basic,14629.835228681564
shot_made,11695.38798314333
in_bonus,5389.349214106798
shot_zone_area,2171.695211738348
shot_value,0.0
is_3pt_attempt,0.0
has_and1,0.0
