feature,gain
action_type,2494779.2794121653
shot_distance,312237.7943008691
seconds_remaining_in_period,172854.01011495292
score_margin,91368.96213483065
shot_type,39447.16414064169
period,37278.153935693204
shot_zone_basic,28011.067548699677
in_bonus,6116.012883335352
home_or_away,0.0
